Where are the five campuses of the first multi-campus university in Pakistan located?	The campuses are located in Chiniot-Faisalabad, Islamabad, Karachi, Lahore, and Peshawar.
How many students are enrolled in the university and how many of them are female?	The university has 11,000 students, out of which a quarter are female students.
When was the university founded and who inaugurated it?	The university was founded as a Federally Chartered University and was inaugurated by President Pervez Musharraf in July 2000.
What is the university's ranking in computer sciences and information technology according to the Higher Education Commission of Pakistan in 2020?	The university ranked top in computer sciences and information technology by the Higher Education Commission of Pakistan in 2020.
How does the university support deserving students financially?	FAST offers different financial assistance programs for deserving students in the form of loans.
Where are the five modern campuses of the multi-campus university located?	The campuses are located in Chiniot-Faisalabad, Islamabad, Karachi, Lahore, and Peshawar.
How many students are enrolled in the university and how many of them are female?	The university has 11,000 students, out of which a quarter are female students.
When was the university inaugurated and by whom?	The university was inaugurated by President Pervez Musharraf in July 2000.
What are the top-ranked fields of study at the university according to the Higher Education Commission of Pakistan?	The university is ranked top in computer sciences and information technology by the Higher Education Commission of Pakistan in 2020.
How does the university support deserving students financially?	The university offers different financial assistance programs for deserving students in the form of loans.
What is unique about the university mentioned in the text?	The university is the first multi-campus university in Pakistan, having five modern campuses based in different cities.
How many students and faculty members does the university have?	The university has 11,000 students and 500 faculty members.
When was the university founded and inaugurated?	The university was founded as a Federally Chartered University and inaugurated by President Pervez Musharraf in July 2000.
Which fields of study does the university excel in according to the Higher Education Commission of Pakistan in 2020?	The university is ranked top in computer sciences and information technology by the Higher Education Commission of Pakistan in 2020.
How does the university support deserving students financially?	The university offers different financial assistance programs for deserving students in the form of loans.
Who founded the Foundation of Advancement of Science and Technology?	The Foundation of Advancement of Science and Technology was founded and established by the Bank of Credit and Commerce International financier.
What was the purpose of the financial capital provided by Hasan Abidi, founder of BCCI?	Hasan Abidi provided a large financial capital for the university to promote research in computer sciences and emerging technologies during the 1980s.
When was the National University of Computer and Emerging Sciences established?	The National University of Computer and Emerging Sciences was inaugurated by Former President and Chief of Army Staff General Pervez Musharraf in 2000.
What is the significance of the National University of Computer and Emerging Sciences?	It is privileged to be the first private sector university, having multiple campuses set up under the Federal Charter granted by Ordinance No.XXIII of 2000, dated July 1, 2000.
How was the National University of Computer and Emerging Sciences established?	The foundation established the National University of Computer and Emerging Sciences, which was inaugurated by Former President and Chief of Army Staff General Pervez Musharraf in 2000.
When was the Foundation of Advancement of Science and Technology established?	The Foundation of Advancement of Science and Technology was established during the 1980s.
Who provided the financial capital for the university to promote research in computer sciences and emerging technologies?	Hasan Abidi, the founder of BCCI (Bank of Credit and Commerce International), provided a large financial capital for the university.
What university was established by the foundation later on?	The foundation established the National University of Computer and Emerging Sciences.
Who inaugurated the National University of Computer and Emerging Sciences in 2000?	The university was inaugurated by Former President and Chief of Army Staff General Pervez Musharraf.
How did the foundation secure its status as the first private sector university with multiple campuses?	The foundation obtained a Federal Charter granted by Ordinance No.XXIII of 2000, dated July 1, 2000, allowing it to have multiple campuses.
Who founded the Foundation of Advancement of Science and Technology?	The Foundation of Advancement of Science and Technology was founded and established by the Bank of Credit and Commerce International financier.
